feature,importance
movie_popularity_log,0.031467685127760325
movie_rating_count,0.020144357589535256
genre_support_log,0.014648524207430569
genre_support_sum,0.011279863058589745
movie_year,0.010356389554673884
primary_genre,0.009535919806520299
genres,0.005117857134433579
genre_uplift,0.002961644274316444
age_group,0.0019399832443159903
popularity_score_norm,0.0017506485354022994
weighted_popularity_score,0.0016209675316494199
movie_std_rating,0.0009964351383334735
user_activity_log,0.000797482878997835
genre_mean_rating_score,0.0006904080786277467
movie_mean_rating,0.0005815299406923824
user_rating_count,0.0005084711970574363
gender,0.0003129754402001472
user_movie_mean_gap,0.0002006812862841434
occupation_name,0.00019467919948740198
genre_preference_score,0.0001845909072447638
user_mean_rating,6.873096957615843e-05
user_like_rate,1.9603647121280154e-05
user_std_rating,8.441876906295498e-06
